Document,comment,stemming_str,sentiment,tfidf
ulasan 4950,"Mau nangkep gmn, sdm bisa masuk & naik pangkat karena duit... Tp itu di konoha",nangkep sdm masuk pangkat duit konoha,netral,sdm:0.4864; pangkat:0.4730; duit:0.4061; masuk:0.3858; konoha:0.3744; nangkep:0.2929
ulasan 4951,"Kalo bener itu bukan bjorka, pasti doi skrg lagi berusaha ngebobol website suatu instansi utk ngasih tau dia masih bebas diluar.",kalo bjorka doi usaha ngebobol website instansi asih tau bebas luar,negatif,ngebobol:0.4042; doi:0.3933; luar:0.3506; bebas:0.3282; asih:0.3282; website:0.3168; usaha:0.2999; instansi:0.2575; tau:0.1944; kalo:0.1830
ulasan 4952,"Bjork yg asli mungkin bingung, ""Kenapa nama dan fotoku dibawa bawa di sebuah Republik"" LOL",bjork asli bingung nama foto bawa bawa republik lol,positif,bawa:0.6184; lol:0.3489; republik:0.3435; bjork:0.3266; bingung:0.3069; foto:0.2882; asli:0.2192; nama:0.2140
ulasan 4953,"28 : 10 menarik etical hacker  Indonesia, hacker yg image nya sperti itu ada Etikanya, sedangkan dilain pihak yg sperti nya menampilkan citra diri sbg yg  ""baik2"" ternyata....",tarik etical hacker indonesia hacker image nya etika lain nya tampil citra,netral,etical:0.3789; image:0.3789; lain:0.3789; etika:0.3618; tampil:0.3110; citra:0.2839; hacker:0.2835; nya:0.2825; tarik:0.2797; indonesia:0.1507
ulasan 4954,"Kl mmg benar buat aja gelar perkara terbuka, biar masyarakat tau bahwa ybs bisa retas.
Peretas bisa solo, bisa grup.
Dibantu dikasi info cela malah kena tangkap. Dari sini taukan keadaan sistim kita.
Selagi peretasan tidak masive dalam suatu waktu secara bersamaa pd instansi Pemerintah dan para  Pejabat sampai Presiden, jebol sampai anggaran, ga bakalan auto pembenahan besar-besaran.",kalo gelar perkara buka biar masyarakat tau ybs retas retas solo grup bantu kasi info cela kena tangkap tau sistim selagi retas masive bersamaa instansi perintah jabat presiden jebol anggar auto benah besarbesaran,negatif,retas:0.4479; ybs:0.2126; masive:0.2126; bersamaa:0.2126; besarbesaran:0.2126; sistim:0.2030; kasi:0.2030; gelar:0.1962; cela:0.1909; benah:0.1909
ulasan 4955,56:00 kalo yt ada namanya yt vanced itu bisa kaya premium tanpa iklan bisa muter musik kondisi layar mati,kalo yt nama yt vanced kayak premium iklan muter musik kondisi layar mati,positif,yt:0.5394; vanced:0.3239; premium:0.2989; muter:0.2989; musik:0.2989; kondisi:0.2788; layar:0.2625; iklan:0.2538; mati:0.2375; nama:0.1680
ulasan 4956,satu kalimat yg mantab......selama ini gada prestasi mungkin butuh.....dan itu adalah .kebodohan yg di gaji.....,kalimat mantabselama prestasi butuhdan bodoh gaji,negatif,mantabselama:0.5087; butuhdan:0.5087; kalimat:0.4302; gaji:0.3466; prestasi:0.2984; bodoh:0.2971
ulasan 4957,Lanjutkan Bjorka ... 🔥🔥🔥🤡,lanjut bjorka,netral,lanjut:0.9420; bjorka:0.3356
ulasan 4958,Polisi Polisi 👮🚔🚓..... 😂😂,polisi polisi,netral,polisi:1.0000
ulasan 4959,"Alhamdulillah,Close the door ngundang Teguh apriyanto lagi buat mbahas kerjaan baju coklat yang katanya nangkap bjorka🗿",alhamdulillahclose the door ngundang teguh apriyanto mbahas kerja baju coklat nangkap bjorka,positif,alhamdulillahclose:0.3955; mbahas:0.3777; door:0.3552; apriyanto:0.3472; ngundang:0.3247; baju:0.3131; the:0.2538; coklat:0.2384; teguh:0.2187; nangkap:0.1902
ulasan 4960,17:49 om ded cuma mancing agar di jawab IYA. Malah di ULTIMATE 😭😭,om ded mancing iya ultimate,positif,ultimate:0.6297; mancing:0.5041; iya:0.4163; ded:0.3239; om:0.2669
ulasan 4961,Itulah kalo kerjanya yg pemting citra yg baik ..,kalo kerja pemting citra,positif,pemting:0.7170; citra:0.5373; kerja:0.3279; kalo:0.2995
ulasan 4962,"menarik bgt pembahasan ini, andai teman2 hacker bersatu untuk kulik ketidakadilan dan para koruptor di negeri ini, saya rasa cara yang tepat hehe",tarik banget bahas andai teman hacker satu lik ketidakadilan koruptor negeri hehe,positif,ketidakadilan:0.3954; lik:0.3776; andai:0.3403; hehe:0.3246; satu:0.3204; tarik:0.2919; bahas:0.2457; negeri:0.2436; koruptor:0.2429; teman:0.2402
ulasan 4963,"jangan jauh ke hacking IT.

indonesia ini masih gampang di hacking dgn metode infared,jaringan,NFC dll.

sayang mas teguh ga dijelasin disini.",hacking indonesia mudah hacking metode infaredjaringannfc dll sayang mas teguh dijelasin,negatif,hacking:0.5222; infaredjaringannfc:0.3832; dijelasin:0.3832; metode:0.3536; sayang:0.2945; dll:0.2434; mas:0.2194; mudah:0.2151; teguh:0.2119; indonesia:0.1525
ulasan 4964,Komdigi nya bukan budi arie sih makanya bjorka sulit ketangkep,komdigi nya budi arie sih bjorka sulit ketangkep,netral,arie:0.4925; budi:0.4793; komdigi:0.4181; sulit:0.3886; ketangkep:0.3019; sih:0.2191; nya:0.1990; bjorka:0.1522
ulasan 4965,"Kenyataan yang paling menjanjikan di negara ini adalah, bahwa pemerintah kita di lakukan oleh orang yang tidak kompeten dalam pekerjaan",nyata janji negara perintah laku orang kompeten kerja,positif,janji:0.5010; kompeten:0.4625; nyata:0.3947; laku:0.3405; negara:0.2792; perintah:0.2666; kerja:0.2611; orang:0.2148
ulasan 4966,Saya juga gak percaya KLO dia BJORKA...😅😅😅,percaya kalo bjorka,positif,percaya:0.7092; kalo:0.5822; bjorka:0.3975
ulasan 4967,"Bang ini mohon maaf kalo ngomongin bjorka emang susah dia dicari bahkan orangnya tertutup sekali makanya setiap mau ke pendidikan dia maunya sistem belajar daring 👍.

Demi dapet data orang sekitarnya.",bang mohon maaf kalo omong bjorka susah cari orang tutup didik mau sistem ajar daring data orang,negatif,daring:0.3752; mau:0.3463; mohon:0.3173; didik:0.2835; orang:0.2824; maaf:0.2594; tutup:0.2491; omong:0.2376; sistem:0.2286; ajar:0.2273
ulasan 4968,"Akun gua, gua buat bjorka lagi, jadi tkut haha😅😂",akun gua gua bjorka takut haha,negatif,gua:0.6684; haha:0.4782; takut:0.4082; akun:0.3556; bjorka:0.1775
ulasan 4969,Isilop ga guna memang,isilop,netral,isilop:1.0000
ulasan 4970,apa nama website yang diomongin utk lihat celah keamanan website oleh narasumber nya tuh? soda showden atau apa yaa kurang jelas dia ngomong,nama website diomongin lihat celah aman website narasumber nya tuh soda showden ya omong,netral,website:0.5136; soda:0.3550; showden:0.3550; diomongin:0.3389; celah:0.2568; narasumber:0.2568; omong:0.2247; aman:0.1996; lihat:0.1963; tuh:0.1891
ulasan 4971,plot twist nya yang diundang om deddy itu Bjorka-nya itu sendiri 🤫🤫🤫🤫🤫,plot twist nya undang om deddy bjorkanya,positif,bjorkanya:0.4729; twist:0.4435; plot:0.4191; deddy:0.4026; undang:0.3451; om:0.2631; nya:0.2314
ulasan 4972,polisi isinya bocil2 lulus sma dari desa 😂,polisi isi bocil lulus desa,positif,desa:0.5744; bocil:0.5326; lulus:0.4246; isi:0.4091; polisi:0.1967
ulasan 4973,anak punk gak tuh 🤣🤣🤣🤣,anak punk tuh,negatif,punk:0.6570; tuh:0.5747; anak:0.4879
ulasan 4974,wkwkwk @TanyaPolisi,wkwkwk,positif,wkwkwk:1.0000
ulasan 4975,"Tenang klw ada yg di hack data pemerintah nanti pejabatnya tinggal bilang, ""hai para hacker tolong jangan nge hack data kita ya""",tenang hack data perintah jabat tinggal bilang hai hacker tolong nge hack data ya,negatif,hack:0.4683; data:0.3855; hai:0.3411; tenang:0.3300; nge:0.3074; tinggal:0.2642; tolong:0.2434; jabat:0.2270; bilang:0.2208; perintah:0.1851
ulasan 4976,Bjirka🤣,bjirka,netral,bjirka:1.0000
ulasan 4977,apa yang d harapkan dari pemerintah gaptek,harap perintah gaptek,netral,gaptek:0.7120; harap:0.5775; perintah:0.3995
ulasan 4978,"7:24  yang paling gampang nik sama kk yang paling laku, buat nembak altivasi kartu perdana :v",mudah nik kakak laku tembak altivasi kartu perdana v,negatif,altivasi:0.4323; perdana:0.4128; tembak:0.3794; nik:0.3794; kartu:0.3387; kakak:0.3387; laku:0.2579; mudah:0.2426
ulasan 4979,Polisi cuma bikin ribet 😅🤮,polisi bikin ribet,negatif,ribet:0.8198; bikin:0.4920; polisi:0.2929
ulasan 4980,"2 kata lucu, Bjorka Ketangkep.",lucu bjorka ketangkep,netral,ketangkep:0.6758; lucu:0.6536; bjorka:0.3408
ulasan 4981,Boleh komentar yg lucu gak sih disini buat polisi Indonesia😂😂😂,komentar lucu sih polisi indonesia,netral,komentar:0.6374; lucu:0.4965; sih:0.3726; indonesia:0.3611; polisi:0.2791
ulasan 4982,"45:53 ngakak, fufufafa ngga butuh hacker, emang dianya yg bodo",akak fufufafa butuh hacker dia bodo,negatif,dia:0.5301; bodo:0.5018; akak:0.3982; butuh:0.3628; fufufafa:0.3492; hacker:0.2346
ulasan 4983,"q suka liat kakak deddy. beliau pintar. pintar mnempatkan diri n membawa arah pembicaraan. dia mnempatkan diri sbgai org awam yg gk tau ap2, agar org2 ""lemot"" ky q bs agak tau isi obrolan",ku suka lihat kakak deddy beliau pintar pintar mnempatkan n bawa arah bicara mnempatkan orang awam tau orang lot kaya ku tau isi obrol,negatif,mnempatkan:0.5130; ku:0.3512; pintar:0.2716; lot:0.2449; tau:0.2277; arah:0.2009; kakak:0.2009; orang:0.1930; bawa:0.1922; beliau:0.1894
ulasan 4984,"Ampun Sepuh .... kenapa nyariin hacker ... bukannaya nangkapin para KORUPTOR.... Kalau KORUPTOR ga ada maka project untuk buat apikasi2 di Indo akan di kerjakan dengan baik ... dan yakin para community haxor mau turun bantu ... ""Itu juga masih Mungkin""",ampun sepuh nyariin hacker bukannaya nangkapin koruptor koruptor project apikasi indonesia kerja community haxor turun bantu,netral,koruptor:0.3710; bukannaya:0.3020; nangkapin:0.3020; apikasi:0.3020; haxor:0.3020; sepuh:0.2883; nyariin:0.2787; project:0.2712; community:0.2712; turun:0.2390
ulasan 4985,"UU ITE pasal karet emang perlu diterapkan utk hacker apapun sih, ibarat punya kebon mangga gak dipager bisa dg mudah dipetik siapapun tapi tetep saja mangga itu ada pemilik nya, orang lain mau ngambil 1 daun pun tetep saja maling / merusak.",uu ite pasal karet terap hacker apa sih kebon mangga dipager mudah petik mangga milik nya orang ngambil daun maling rusak,negatif,mangga:0.5057; karet:0.2528; dipager:0.2528; petik:0.2528; terap:0.2414; daun:0.2414; ite:0.2414; pasal:0.2333; kebon:0.2333; uu:0.2176
ulasan 4986,"dari awal berita ""Bjorka ketangkep"", ane dah ketawa2 aja, ga mgkin banget itu",berita bjorka ketangkep ane deh ketawa banget,positif,ane:0.5450; ketawa:0.3893; berita:0.3828; ketangkep:0.3805; deh:0.3546; banget:0.3124; bjorka:0.1919
ulasan 4987,Kan bisa aja admin bjorka g cuma 1....harusny yg di undang iy bjorkany...bukan malah dia,admin bjorka harusny undang iya bjorkanybukan,positif,harusny:0.5457; bjorkanybukan:0.5457; admin:0.3974; iya:0.3608; undang:0.3034; bjorka:0.1557
ulasan 4988,"Bisa nangkep bjorka, tapi ngak bisa nangkep fufufafa",nangkep bjorka nangkep fufufafa,netral,nangkep:0.8088; fufufafa:0.5235; bjorka:0.2680
ulasan 4989,"pernah dpt info bjorka org sby wonokromo, cmn dia hnya uploder aja, diblakangnya ada bbrapa org tim it nya",info bjorka orang surabaya wonokromo cuman uploder diblakangnya bbrapa orang tim nya,negatif,wonokromo:0.3809; uploder:0.3809; diblakangnya:0.3809; bbrapa:0.3809; surabaya:0.3278; orang:0.2866; info:0.2706; tim:0.2596; cuman:0.2396; nya:0.1420
ulasan 4990,❤ NEO JAPAN TERNYATA JAGO HACKINGG ❤,neo japan jago hackingg,positif,hackingg:0.5610; neo:0.5357; japan:0.5357; jago:0.3338
ulasan 4991,jadi 46:08 emang fufufa yang bodoh aja itu,fufufa bodoh,netral,fufufa:0.8531; bodoh:0.5217
ulasan 4992,Abis tayang ..lu di investigasi kek nya bang.,habis tayang lu investigasi kayak nya bang,netral,tayang:0.5322; investigasi:0.5012; habis:0.3858; lu:0.3226; bang:0.3000; kayak:0.2718; nya:0.2209
ulasan 4993,Dammm teknologi israel 😮,dammm teknologi israel,netral,dammm:0.7092; israel:0.5357; teknologi:0.4583
ulasan 4994,29:20 speechless bgtt wtf,speechless banget wtf,positif,speechless:0.6718; wtf:0.6718; banget:0.3120
ulasan 4995,"Gw prnh di tlp di tau nama bapak ibu sama adik"" Gw.  Sama nama gw  . 

Itu thn 2017/2018an .  Yg tlp blg sodara gw lgi di kantor polisi di tangkap. Gw lgsg matiin krna tau itu modus penipuan, yg heran ko dia tau nama gw+ortu gw",gue telepon tau nama adik gue nama gue an telepon bilang sodara gue kantor polisi tangkap gue langsung matiin tau modus tipu heran tau nama gwortu gue,negatif,gue:0.5727; telepon:0.4097; nama:0.3338; tau:0.2856; gwortu:0.2145; sodara:0.1980; matiin:0.1883; adik:0.1883; kantor:0.1649; modus:0.1634
ulasan 4996,Korupsi Terbesar itu ada di KEPOLISIAN! Pertamina sama Nikel kalah jauh,korupsi besar polisi pertamina nikel kalah,negatif,nikel:0.5582; pertamina:0.4330; besar:0.4290; kalah:0.3988; korupsi:0.3582; polisi:0.1716
ulasan 4997,"Orang Indonesia itu banyak yang hebat, di hampir semua bidang punya jagoannya bahkan sampai level dunia.
Tapi negara Indonesia sulit untuk menjadi hebat karena bukan orang-orang jagoan tadi yang diserahin tugas untuk mengurus dan memegang kendali negara. Justru seringkali orang orang stupid yang diberi wewenang mengurus negara..

Kepolisian juga begitu... gimana mau dapat SDM terbaik lha wong dari awal rekrut personel saja bukan jalur kompetensi dan potensi tapi jalur relasi dan monetisasi.",orang indonesia hebat bidang jago level dunia negara indonesia sulit hebat orangorang jago diserahin tugas urus pegang kendali negara seringkali orang orang stupid wewenang urus negara polisi sdm baik rekrut personel jalur kompetensi potensi jalur relasi monetisasi,positif,jalur:0.2998; negara:0.2935; urus:0.2464; hebat:0.2393; jago:0.2381; orang:0.2258; diserahin:0.2000; seringkali:0.2000; wewenang:0.2000; monetisasi:0.2000
ulasan 4998,"POLRI : DIAM TOLAH TOLEH, BERGERAK AMBYAR KABEH.",polri diam tolah toleh gerak ambyar kabeh,negatif,tolah:0.4336; toleh:0.4336; ambyar:0.4336; kabeh:0.4336; gerak:0.3225; diam:0.3062; polri:0.2240
ulasan 4999,BJORKA itu FERDI SAMBO 😂,bjorka ferdi sambo,netral,ferdi:0.7533; sambo:0.6180; bjorka:0.2250
ulasan 5000,BIKIN OM E CHATTING INDONESIA CUAN CUAN,bikin om e chatting indonesia cuan cuan,netral,cuan:0.8006; chatting:0.4485; bikin:0.2639; om:0.2166; indonesia:0.2033
ulasan 5001,"Pas ada berita bjorka di tangkep,, itu ja udah ga mungkin banget deh,, apa lgi pas liat yg ditangkep nya haduuhhh😂😂😂",pas berita bjorka tangkap banget deh pas lihat ditangkep nya haduuhhh,positif,pas:0.5991; haduuhhh:0.4700; ditangkep:0.3071; berita:0.2675; lihat:0.2599; deh:0.2477; banget:0.2182; nya:0.1752; tangkap:0.1709; bjorka:0.1340
ulasan 5002,ya gimana... yg dicari bjorka.. yg ditangkep bjirlah,ya cari bjorka ditangkep bjirlah,netral,bjirlah:0.6661; ditangkep:0.5058; cari:0.3868; ya:0.3195; bjorka:0.2208
ulasan 5003,Bejorka kagak bisa di ajak kompromi sekali kali ke nyenengin polosi😂,bejorka kagak ajak kompromi kali senang polos,negatif,kompromi:0.4773; polos:0.4286; bejorka:0.4036; ajak:0.3702; senang:0.3499; kagak:0.3107; kali:0.2639
ulasan 5004,Biorka di tangkep badar judol 😂😂,biorka tangkap badar judol,negatif,badar:0.7282; biorka:0.5172; judol:0.3635; tangkap:0.2648
ulasan 5005,Bjorka ke tangkep tapi kocaakkkkk 😅🤣😂,bjorka tangkap kocaakkkkk,negatif,kocaakkkkk:0.9077; tangkap:0.3301; bjorka:0.2589
ulasan 5006,kapolri gimana ni anak buahnya,kapolri nih anak buah,negatif,buah:0.6303; kapolri:0.5560; nih:0.4084; anak:0.3561
ulasan 5007,wkwkwk,wkwkwk,positif,wkwkwk:1.0000
ulasan 5008,"Gimana polisi mau nangkap hacker,masuk polisi bukan otak yg dilihat tapi duit.",polisi nangkap hackermasuk polisi otak duit,netral,hackermasuk:0.6404; otak:0.4405; polisi:0.3938; duit:0.3820; nangkap:0.3080
ulasan 5009,Nangkep yg punya akun bodong aja kelabakan apalagi sekelas hacker 😂😂😂,nangkep akun bodong laba kelas hacker,netral,bodong:0.5786; laba:0.5592; akun:0.3463; kelas:0.3363; nangkep:0.2608; hacker:0.2268
ulasan 5010,"tipis tipis dengan cuk*i rokok dan jud*l.. pdhal sama2 merusak.
tanpa ini pendapatan kepemerintahan menurun..
iya gaksih",tipis tipis cuki rokok judl rusak dapat perintah turun iya gaksih,negatif,tipis:0.5921; cuki:0.3208; gaksih:0.3208; judl:0.2960; rokok:0.2881; dapat:0.2713; rusak:0.2599; turun:0.2539; iya:0.2121; perintah:0.1498
ulasan 5011,"Polisi angkatan ""SUM KUNING""??? terlihat bekerja walaupun yang ditangkap hanya dijadikan KAMBING HITAM??? 
Semoga Indonesia diberikan lagi Polisi seperti sosok Alm.Jendral Bp.Hoegeng Iman Santoso. Amin.",polisi angkat sum kuning tangkap jadi kambing hitam moga indonesia polisi sosok almjendral bphoegeng iman santoso amin,negatif,sum:0.3059; kuning:0.3059; almjendral:0.3059; bphoegeng:0.3059; santoso:0.3059; iman:0.2921; amin:0.2921; sosok:0.2685; kambing:0.2258; angkat:0.2199
ulasan 5012,"Nangkep maling motor aja ga bisa, apalagi yg tak kasat mata 😂😂😂😂",nangkep maling motor kasat mata,negatif,kasat:0.6315; mata:0.4466; motor:0.4174; maling:0.3828; nangkep:0.2846
ulasan 5013,bisa di usut gak sih aparat yg nangkep nya😂 pembodohan gasih,usut sih aparat nangkep nya bodoh sih,negatif,usut:0.5420; sih:0.5172; aparat:0.4181; bodoh:0.3678; nangkep:0.2711; nya:0.2348
ulasan 5014,Seragam konoha diam beban negara sekali gerak maluin negara😂😂😂,seragam konoha diam beban negara gerak maluin negara,netral,negara:0.4772; beban:0.4198; maluin:0.3862; gerak:0.3628; seragam:0.3529; diam:0.3445; konoha:0.2683
ulasan 5015,Pak pol kocak🤣🤣🤣 di kadalin byorka,pol kocak kadalin byorka,negatif,kadalin:0.5552; pol:0.5126; kocak:0.4724; byorka:0.4537
ulasan 5016,Akhirnya jagoan gua di undang 🎉🎉🎉🎉🎉🎉🎉,jago gua undang,positif,jago:0.6100; undang:0.5699; gua:0.5505
ulasan 5017,"Yak sodara-sodara untuk sementara scorenya
Bjorka 1 - polisi 0",ya sodarasodara scorenya bjorka polisi,positif,sodarasodara:0.6528; scorenya:0.6528; ya:0.2695; polisi:0.2007; bjorka:0.1862
ulasan 5018,"Yg nangkep Stu*id hhh yakali bjk pake data pribadi nya, lol 👻",nangkep stuid hhh yakali bjk pakai data pribadi nya lol,negatif,stuid:0.4225; bjk:0.4225; hhh:0.3899; yakali:0.3708; lol:0.3573; pribadi:0.2906; data:0.2054; pakai:0.2034; nangkep:0.1818; nya:0.1575
ulasan 5019,"Ladusing : Jarang Kerja, Sekali Kerja Jarang Bener",ladusing jarang kerja kerja jarang,positif,jarang:0.8083; kerja:0.4765; ladusing:0.3458
ulasan 5020,revolusi polri,revolusi polri,netral,revolusi:0.8574; polri:0.5146
ulasan 5021,"ditangkap disaat rating isilop lagi turun, gimana caranya supaya naek, malah tambah bobrok dong (nada ala coki)",tangkap saat rating isilop turun bobrok nada ala cok,negatif,rating:0.4010; saat:0.3875; ala:0.3686; nada:0.3686; cok:0.3402; turun:0.3324; bobrok:0.2918; isilop:0.2875; tangkap:0.1527
ulasan 5022,Dr kasus ini kita sama2 tau kualitas penegak hukum di negri ini..,tau kualitas tegak hukum negeri,netral,tegak:0.5421; kualitas:0.4898; hukum:0.4495; negeri:0.4171; tau:0.3005
ulasan 5023,Di bilang admin yg ketangkep ternyata anak berkebutuhan khusus jadi inget sama film Mercury Rising,bilang admin ketangkep anak butuh khusus film mercury rising,negatif,mercury:0.4655; rising:0.4655; admin:0.3389; khusus:0.3252; film:0.3042; butuh:0.2694; ketangkep:0.2633; bilang:0.2593; anak:0.2106
ulasan 5024,"Sok bisa nangkep Bjorka, buka fufufafa siapa aja ngga bisa 😝",sok nangkep bjorka buka fufufafa,netral,buka:0.5277; sok:0.5263; fufufafa:0.4890; nangkep:0.3778; bjorka:0.2504
ulasan 5025,17:46 chaaaaaakkkkssssssss,chaaaaaakkkkssssssss,netral,chaaaaaakkkkssssssss:1.0000
ulasan 5026,"Gue sih ngerii bjorka asli kasih paham dan ulti ,, 😅 ngibarin bendera perang atau emang lagi mancing biar keluar?",gue sih ngeri bjorka asli kasih paham ulti ngibarin bendera perang mancing biar,negatif,ngibarin:0.3925; bendera:0.3925; ulti:0.3622; perang:0.3142; mancing:0.3142; ngeri:0.3045; paham:0.2595; kasih:0.2297; asli:0.2085; biar:0.1947
ulasan 5027,Bjorka...is the best 👍👍,bjorkais the bagus,netral,bjorkais:0.7301; bagus:0.4975; the:0.4685
ulasan 5028,Persembunyian yang paling aman adalah dengan menampakan diri,sembunyi aman tampak,netral,tampak:0.6765; sembunyi:0.6103; aman:0.4122
ulasan 5029,"Polisi kalah sma hacker??? 😂😂😂 shit mennnnnnn AGAK lucu sihhhhhh mentalny😢 Cuman pengen kerja enak doank sih kali yaa nggak bener² ""MENGABDI"" sama negara. Jadi belajarnya yaudah sekedarnya aja orang digaji negara ini wkwkwkwkww  lucu lucu lucuuuuu",polisi kalah hacker shit mennnnnnn lucu sihhhhhh mentalny cuman pengin kerja enak doang sih kali ya abdi negara ajar yaudah dar orang gaji negara wkwkwkwkww lucu lucu lucu,positif,lucu:0.5268; shit:0.2407; mennnnnnn:0.2407; sihhhhhh:0.2407; mentalny:0.2407; wkwkwkwkww:0.2407; negara:0.2355; abdi:0.2222; yaudah:0.2113; dar:0.1951
ulasan 5030,Di Korea Utara malah di pelihara untuk pemasukan negara,korea utara pelihara pasu negara,positif,korea:0.5135; pasu:0.5135; utara:0.5135; pelihara:0.3737; negara:0.2630
ulasan 5031,"Di suruh percaya ma ISILOP, tapi ISILOP nya sendiri selalu nunjukin ketololanya dan gobloknya mereka bangga..😊",suruh percaya isilop isilop nya nunjukin ketololanya goblok bangga,netral,isilop:0.5889; ketololanya:0.4301; nunjukin:0.3701; goblok:0.3073; bangga:0.3055; suruh:0.2642; percaya:0.2188; nya:0.1603
ulasan 5032,"Wkwk anak punk 😂😂😂😂
Sirkel2 lo yang coklat emang rada unik2 om 🤣🤣🤣🤣",wkwk anak punk sirkel lo coklat rada unik om,negatif,sirkel:0.4682; unik:0.4321; rada:0.4110; lo:0.3148; punk:0.2852; wkwk:0.2844; coklat:0.2822; anak:0.2118; om:0.1985
ulasan 5033,Inget kasus cat di aplikasi ojol buat selingkuh 😂😂😂 diluar prediksi chat disitu,cat aplikasi ojol selingkuh luar prediksi chat situ,negatif,cat:0.4303; prediksi:0.4109; selingkuh:0.3639; ojol:0.3639; luar:0.3445; situ:0.3200; chat:0.2932; aplikasi:0.2724
ulasan 5034,3 kata lucu: polisi nangkep bjorka 😂😂😂,lucu polisi nangkep bjorka,netral,lucu:0.6732; nangkep:0.5295; polisi:0.3784; bjorka:0.3510
ulasan 5035,"kalau kebaca ini komenan sama bang teguh, mau nanya, pendapat abang tentang browser brave, soalnya ini aplikasi ko kaya sakti gitu",baca komentar bang teguh dapat abang browser brave aplikasi kayak sakti,negatif,browser:0.4019; brave:0.4019; sakti:0.3838; dapat:0.3399; komentar:0.2823; baca:0.2691; abang:0.2691; aplikasi:0.2545; teguh:0.2223; bang:0.2034
ulasan 5036,"gua curiga bjorka ini gk cuma 1 orang wkwk, tp kyak komunitas yg dmn semua pake 1 nama anonim bjorka wkwk",gua curiga bjorka orang wkwk kayak komunitas mana pakai nama anonim bjorka wkwk,negatif,wkwk:0.5376; anonim:0.3884; curiga:0.3343; komunitas:0.2949; mana:0.2726; bjorka:0.2524; gua:0.2376; nama:0.2295; pakai:0.2130; kayak:0.2029
ulasan 5037,"Bandar Judol aja gabisa nangkep, apalagi Bjorka.. dia pasti lagi ketawa2, jadi pesimis gw liat lembaga milo 🤣",bandar judol nangkep bjorka ketawa pesimis gue lihat lembaga milo,netral,milo:0.4870; pesimis:0.4650; lembaga:0.3743; bandar:0.2920; ketawa:0.2819; lihat:0.2693; judol:0.2431; gue:0.2167; nangkep:0.2096; bjorka:0.1389
ulasan 5038,Spt film the accountant tuh,film the accountant tuh,netral,accountant:0.5805; film:0.5021; the:0.4931; tuh:0.4095
ulasan 5039,"Kalo cuma Chat WA (yg tidak di enkrip) terus didellete masih bisa di recover, gw pernah ngalamin dulu 2021 ngebongkar kasus perselingkuhan temen gw yg udah nikah, akhirnya cerai dan gw merasa bersalah",kalo chat wa enkrip didellete recover gue ngalamin ngebongkar selingkuh teman gue nikah cerai gue salah,negatif,gue:0.4133; enkrip:0.3096; didellete:0.3096; cerai:0.2957; ngalamin:0.2957; nikah:0.2858; recover:0.2858; ngebongkar:0.2781; selingkuh:0.2619; chat:0.2110
ulasan 5040,"9:20 wah gw pernah kalo yang ini , tapi paling orangnya tau kalo gw orang biasa gw di bayar gak salah 80rb dan gw tau klo itu penipuan ya udah habis gw di bayar 80rb gw cuekin",gue kalo orang tau kalo gue orang gue bayar salah ribu gue tau kalo tipu ya habis gue bayar ribu gue cuekin,negatif,gue:0.6764; ribu:0.3559; kalo:0.3175; bayar:0.3104; cuekin:0.2419; tau:0.2249; orang:0.1907; habis:0.1650; tipu:0.1497; salah:0.1123
ulasan 5041,"Bjorka aja udah bisa ketangkep. Judol2 setelah ini pasti habis diberantas.
Mantap 👍",bjorka ketangkep judol habis berantas mantap,positif,berantas:0.5267; mantap:0.4769; habis:0.4420; ketangkep:0.3841; judol:0.3389; bjorka:0.1937
ulasan 5042,Byorca Asli lagi nonton ini om,byorca asli tonton om,netral,byorca:0.7240; tonton:0.4378; asli:0.4167; om:0.3325
ulasan 5043,Ya allah wkwkwk sejak menit awal aja udah wkwkwkwk,ya allah wkwkwk menit wkwkwkwk,positif,allah:0.5802; wkwkwkwk:0.4963; menit:0.4250; wkwkwk:0.3953; ya:0.2832
ulasan 5044,"Bisa jadi si bjorka itu bandar besar judol, makanya dicari teruss.. waahhh hebbbat yah polisi kita",sih bjorka bandar judol cari waahhh hebbbat ya polisi,negatif,waahhh:0.5445; hebbbat:0.5445; bandar:0.3265; cari:0.2721; judol:0.2718; ya:0.2248; sih:0.2235; polisi:0.1674; bjorka:0.1553
ulasan 5045,Inilah alasan kenapa gw akhir2 ini malu melihat sepupu gw yg jadi polisi',alas gue malu sepupu gue polisi,netral,sepupu:0.5695; gue:0.5491; alas:0.4886; malu:0.3153; polisi:0.1898
ulasan 5046,"Polisi butuh prestasi.. 😅
Anak funk jadi korban. 
L😅L",polisi butuh prestasi anak funk korban ll,negatif,ll:0.5453; funk:0.5207; korban:0.3751; prestasi:0.3199; butuh:0.3156; anak:0.2467; polisi:0.1677
ulasan 5047,Aku yakin bjorka pasti ntn podcast ini...Hello bjorka...😂😂😂,bjorka tonton podcast inihello bjorka,negatif,inihello:0.7151; bjorka:0.4079; podcast:0.4037; tonton:0.3991
ulasan 5048,MASIH GA PUNYA MALU NIH POLRI? 🤣👏,malu nih polri,netral,nih:0.5811; polri:0.5786; malu:0.5723
