comment,case_folding,cleansing
Om dedi undang Manchester United dong 🎉,om dedi undang manchester united dong 🎉,om dedi undang manchester united dong
"Gw ngakak waktu ""anak punk"" Wkwkwkwkwkwkwkwkwkwkkw","gw ngakak waktu ""anak punk"" wkwkwkwkwkwkwkwkwkwkkw",gw ngakak waktu anak punk wkwkwkwkwkwkwkwkwkwkkw
Berharap konoha bisa kaya Russia dimana org yg punya kemampuan di dunia cyber justru di pekerjakan di pelihara negara untuk keuntungan negara kalau di konoha yg pejabatnya ndableg justru malah di tangkap&kemampuannya gk di manfaatkan gk habis fikir memang cara fikir pejabat konoha,berharap konoha bisa kaya russia dimana org yg punya kemampuan di dunia cyber justru di pekerjakan di pelihara negara untuk keuntungan negara kalau di konoha yg pejabatnya ndableg justru malah di tangkap&kemampuannya gk di manfaatkan gk habis fikir memang cara fikir pejabat konoha,berharap konoha bisa kaya russia dimana org yg punya kemampuan di dunia cyber justru di pekerjakan di pelihara negara untuk keuntungan negara kalau di konoha yg pejabatnya ndableg justru malah di tangkapkemampuannya gk di manfaatkan gk habis fikir memang cara fikir pejabat konoha
"Pelajaran buat kita semua. Kalo nyari karyawan itu bukan karena di sogok, bukan karena kenalan, bukan karena keluarga tapi yg dilihat adalah kemampuan. Bukan umur, bukan pendidikan, bukan agama, bukan ras, bukan gender","pelajaran buat kita semua. kalo nyari karyawan itu bukan karena di sogok, bukan karena kenalan, bukan karena keluarga tapi yg dilihat adalah kemampuan. bukan umur, bukan pendidikan, bukan agama, bukan ras, bukan gender",pelajaran buat kita semua kalo nyari karyawan itu bukan karena di sogok bukan karena kenalan bukan karena keluarga tapi yg dilihat adalah kemampuan bukan umur bukan pendidikan bukan agama bukan ras bukan gender
"recover chat wa"""" gue yang awang juga bisa itu mah","recover chat wa"""" gue yang awang juga bisa itu mah",recover chat wa gue yang awang juga bisa itu mah
Eksistensi bjorka menghibur masyarakat Indonesia akan pemerintahannya 😂,eksistensi bjorka menghibur masyarakat indonesia akan pemerintahannya 😂,eksistensi bjorka menghibur masyarakat indonesia akan pemerintahannya
Cetek banget ternyata kemampuan cyber polisi negara ini 😂,cetek banget ternyata kemampuan cyber polisi negara ini 😂,cetek banget ternyata kemampuan cyber polisi negara ini
Ternyata kemampuan polisi kita cuma ecek2 😊😊😊,ternyata kemampuan polisi kita cuma ecek2 😊😊😊,ternyata kemampuan polisi kita cuma ecek
"Ini belum melibatkan ai lho, kalau udah melibatkan ai nggak kebayang apa yang akan di lakukan polri😂","ini belum melibatkan ai lho, kalau udah melibatkan ai nggak kebayang apa yang akan di lakukan polri😂",ini belum melibatkan ai lho kalau udah melibatkan ai nggak kebayang apa yang akan di lakukan polri
bang lu nyabu gk sih😅 ( bertanya dengan nada penasaran )😅,bang lu nyabu gk sih😅 ( bertanya dengan nada penasaran )😅,bang lu nyabu gk sih bertanya dengan nada penasaran
Renyah banget ajig bilang gobloknya si om😅,renyah banget ajig bilang gobloknya si om😅,renyah banget ajig bilang gobloknya si om
"Hacker tu cuma nyebar data doank setau gua & ga bahaya guys😂
Kalo sampe bobol bank itu ga mungkin sih. Logika kalo bisa bobol bank ngapain dia jual data buat nyari duit 😋 tidak segampang itu sampe bobol bank wkwk😂
Kecuali lu di tlpon pnipu trus di mnta'in no verifikasi dll😂 intinya abaikan no yang tak di kenal. Gua jamin hidup lu aman😂","hacker tu cuma nyebar data doank setau gua & ga bahaya guys😂
kalo sampe bobol bank itu ga mungkin sih. logika kalo bisa bobol bank ngapain dia jual data buat nyari duit 😋 tidak segampang itu sampe bobol bank wkwk😂
kecuali lu di tlpon pnipu trus di mnta'in no verifikasi dll😂 intinya abaikan no yang tak di kenal. gua jamin hidup lu aman😂",hacker tu cuma nyebar data doank setau gua ga bahaya guys kalo sampe bobol bank itu ga mungkin sih logika kalo bisa bobol bank ngapain dia jual data buat nyari duit tidak segampang itu sampe bobol bank wkwk kecuali lu di tlpon pnipu trus di mntain no verifikasi dll intinya abaikan no yang tak di kenal gua jamin hidup lu aman
Yg selingkuh lebih pinter2 soalnya diganyang istri lebih serem drpd diganyang polisi,yg selingkuh lebih pinter2 soalnya diganyang istri lebih serem drpd diganyang polisi,yg selingkuh lebih pinter soalnya diganyang istri lebih serem drpd diganyang polisi
Situs Judol masih bebas sliweran di Internet dan lu pada percaya gitu mereka bisa nangkep hacker?😂,situs judol masih bebas sliweran di internet dan lu pada percaya gitu mereka bisa nangkep hacker?😂,situs judol masih bebas sliweran di internet dan lu pada percaya gitu mereka bisa nangkep hacker
"polisi modal jual sawah mana bisa , banyak orang rata rata anak IT original OTAKnya idependen tidak mau terikat sama siapapun apalagi masuk pemerintahan pasti di indimidasi atasan demi kepentingan pribadi hehehehe","polisi modal jual sawah mana bisa , banyak orang rata rata anak it original otaknya idependen tidak mau terikat sama siapapun apalagi masuk pemerintahan pasti di indimidasi atasan demi kepentingan pribadi hehehehe",polisi modal jual sawah mana bisa banyak orang rata rata anak it original otaknya idependen tidak mau terikat sama siapapun apalagi masuk pemerintahan pasti di indimidasi atasan demi kepentingan pribadi hehehehe
"Di konten ini, editor gak capek""kayaknya 🤣","di konten ini, editor gak capek""kayaknya 🤣",di konten ini editor gak capekkayaknya
"Nangkep Bjorka salah, nangkep Fufufafa yang jelas syusah 😂","nangkep bjorka salah, nangkep fufufafa yang jelas syusah 😂",nangkep bjorka salah nangkep fufufafa yang jelas syusah
10 tahun terakhir yg dipelihara negara termul2 n  mafia,10 tahun terakhir yg dipelihara negara termul2 n  mafia,tahun terakhir yg dipelihara negara termul n mafia
Asli... Ngakak gua 😂😂😂😂😂,asli... ngakak gua 😂😂😂😂😂,asli ngakak gua
"Intinya pertahanan Indonesia lemah ..
& Mungkin anak"" komunitas melakukan pembiaran karena pemerintah kurang menghargai anak"" indo yg bertalenta di bidang cyber, atau mereka sudah muak sama pemerintahan nya sendiri.","intinya pertahanan indonesia lemah ..
& mungkin anak"" komunitas melakukan pembiaran karena pemerintah kurang menghargai anak"" indo yg bertalenta di bidang cyber, atau mereka sudah muak sama pemerintahan nya sendiri.",intinya pertahanan indonesia lemah mungkin anak komunitas melakukan pembiaran karena pemerintah kurang menghargai anak indo yg bertalenta di bidang cyber atau mereka sudah muak sama pemerintahan nya sendiri
Polisi bisa tau itu biorka tapi nga bisa tau fufufafa itu siapa ? 😅,polisi bisa tau itu biorka tapi nga bisa tau fufufafa itu siapa ? 😅,polisi bisa tau itu biorka tapi nga bisa tau fufufafa itu siapa
"bjorka berhasil ditangkep POLISEA? WKWKWK ngurus maling motor aja kecot apalagi hacker yg berani bongkar bobroknya instansi.... 
yg ketangkep malah BJIRka","bjorka berhasil ditangkep polisea? wkwkwk ngurus maling motor aja kecot apalagi hacker yg berani bongkar bobroknya instansi.... 
yg ketangkep malah bjirka",bjorka berhasil ditangkep polisea wkwkwk ngurus maling motor aja kecot apalagi hacker yg berani bongkar bobroknya instansi yg ketangkep malah bjirka
"bjorka itu komunitas, bukan hanya 1 orang aja, tapi beribu"" orang yang masuk dalam komunitas itu. 
dan ada juga bagian"" nya mereka itu wkwkwk . kocak""","bjorka itu komunitas, bukan hanya 1 orang aja, tapi beribu"" orang yang masuk dalam komunitas itu. 
dan ada juga bagian"" nya mereka itu wkwkwk . kocak""",bjorka itu komunitas bukan hanya orang aja tapi beribu orang yang masuk dalam komunitas itu dan ada juga bagian nya mereka itu wkwkwk kocak
"Gw pernah nyapa orang dr jauh kliatan sperti temen gw, eh... Ternyata orang lain yang gw ga kenal. Malunya minta ampun","gw pernah nyapa orang dr jauh kliatan sperti temen gw, eh... ternyata orang lain yang gw ga kenal. malunya minta ampun",gw pernah nyapa orang dr jauh kliatan sperti temen gw eh ternyata orang lain yang gw ga kenal malunya minta ampun
Lagi lagi ngelawak aja kerjaan nya,lagi lagi ngelawak aja kerjaan nya,lagi lagi ngelawak aja kerjaan nya
"Tenag om ded, masih ada orang baik di indonesia, yang mau membantu indonesia secara sukarela membekap biar tidak kolep indonesia","tenag om ded, masih ada orang baik di indonesia, yang mau membantu indonesia secara sukarela membekap biar tidak kolep indonesia",tenag om ded masih ada orang baik di indonesia yang mau membantu indonesia secara sukarela membekap biar tidak kolep indonesia
"Ketululan pol indo😂😂.. 
Dia sendiri yg mempertontonkan 😅😅

Hiburan nitijen lah.. 
Biar dikira kerja","ketululan pol indo😂😂.. 
dia sendiri yg mempertontonkan 😅😅

hiburan nitijen lah.. 
biar dikira kerja",ketululan pol indo dia sendiri yg mempertontonkan hiburan nitijen lah biar dikira kerja
"saya juga heker, code name saya BJIRKA.","saya juga heker, code name saya bjirka.",saya juga heker code name saya bjirka
Banyak yg kenal suaranya OM hahahah,banyak yg kenal suaranya om hahahah,banyak yg kenal suaranya om hahahah
ntar si bjorka nge-up siapa aja anggota dpr yang ikut ngelindungin judolkan gak lucu.,ntar si bjorka nge-up siapa aja anggota dpr yang ikut ngelindungin judolkan gak lucu.,ntar si bjorka ngeup siapa aja anggota dpr yang ikut ngelindungin judolkan gak lucu
gw tau tapi gw gabisa ngomong. dan gabisa buktiin juga. gak punya duit juga coy. berurusan sama kyk begini ngabisin duit.,gw tau tapi gw gabisa ngomong. dan gabisa buktiin juga. gak punya duit juga coy. berurusan sama kyk begini ngabisin duit.,gw tau tapi gw gabisa ngomong dan gabisa buktiin juga gak punya duit juga coy berurusan sama kyk begini ngabisin duit
"Polisi di indo kalau gk sogok menyogok .cari uang lewat tilangan yg gk resmi atau bikin drama so hebat ....giliran kasus"" yg harus di ungakap malah di main kan ah warga +62 sudah pada paham om ded","polisi di indo kalau gk sogok menyogok .cari uang lewat tilangan yg gk resmi atau bikin drama so hebat ....giliran kasus"" yg harus di ungakap malah di main kan ah warga +62 sudah pada paham om ded",polisi di indo kalau gk sogok menyogok cari uang lewat tilangan yg gk resmi atau bikin drama so hebat giliran kasus yg harus di ungakap malah di main kan ah warga sudah pada paham om ded
jadi apa kita harus daftar komdigi?,jadi apa kita harus daftar komdigi?,jadi apa kita harus daftar komdigi
Mungkin bjorka itu polri🤑🤡,mungkin bjorka itu polri🤑🤡,mungkin bjorka itu polri
Bener mas klo untuk situng dan sirekap,bener mas klo untuk situng dan sirekap,bener mas klo untuk situng dan sirekap
"Kan.... Polisi kebanyakan dongok kebelet naik pangkat biar kasus terselesaikan wkowkowko polisi Indonesia gitu, Cyber polisi canggih.? Walah canggihnya anak komunitas polisi bagian cyber cuma sekelompok anak baru kesusahan karena apa.? Yaa karena bagian ngumpulin informasi goblok kebanyakan, minimal anggota nya bagian cyber tuh rekrutmen terpisah bikin perlombaan HACKING NAAH AWALNYA REKRUTMEN TUH ORANG JUARA....  DAN PLUS PLIS BUAT BANK BANK MINIMAL PERBAIKAN LAH ASU SECURITY NYA AMPASS BENER DIBIARIN HERAN, UPDATE KALAU ADA KEBOBOLAN SERIUS","kan.... polisi kebanyakan dongok kebelet naik pangkat biar kasus terselesaikan wkowkowko polisi indonesia gitu, cyber polisi canggih.? walah canggihnya anak komunitas polisi bagian cyber cuma sekelompok anak baru kesusahan karena apa.? yaa karena bagian ngumpulin informasi goblok kebanyakan, minimal anggota nya bagian cyber tuh rekrutmen terpisah bikin perlombaan hacking naah awalnya rekrutmen tuh orang juara....  dan plus plis buat bank bank minimal perbaikan lah asu security nya ampass bener dibiarin heran, update kalau ada kebobolan serius",kan polisi kebanyakan dongok kebelet naik pangkat biar kasus terselesaikan wkowkowko polisi indonesia gitu cyber polisi canggih walah canggihnya anak komunitas polisi bagian cyber cuma sekelompok anak baru kesusahan karena apa yaa karena bagian ngumpulin informasi goblok kebanyakan minimal anggota nya bagian cyber tuh rekrutmen terpisah bikin perlombaan hacking naah awalnya rekrutmen tuh orang juara dan plus plis buat bank bank minimal perbaikan lah asu security nya ampass bener dibiarin heran update kalau ada kebobolan serius
"Mau nangkep gmn, sdm bisa masuk & naik pangkat karena duit... Tp itu di konoha","mau nangkep gmn, sdm bisa masuk & naik pangkat karena duit... tp itu di konoha",mau nangkep gmn sdm bisa masuk naik pangkat karena duit tp itu di konoha
"Kalo bener itu bukan bjorka, pasti doi skrg lagi berusaha ngebobol website suatu instansi utk ngasih tau dia masih bebas diluar.","kalo bener itu bukan bjorka, pasti doi skrg lagi berusaha ngebobol website suatu instansi utk ngasih tau dia masih bebas diluar.",kalo bener itu bukan bjorka pasti doi skrg lagi berusaha ngebobol website suatu instansi utk ngasih tau dia masih bebas diluar
"Bjork yg asli mungkin bingung, ""Kenapa nama dan fotoku dibawa bawa di sebuah Republik"" LOL","bjork yg asli mungkin bingung, ""kenapa nama dan fotoku dibawa bawa di sebuah republik"" lol",bjork yg asli mungkin bingung kenapa nama dan fotoku dibawa bawa di sebuah republik lol
"28 : 10 menarik etical hacker  Indonesia, hacker yg image nya sperti itu ada Etikanya, sedangkan dilain pihak yg sperti nya menampilkan citra diri sbg yg  ""baik2"" ternyata....","28 : 10 menarik etical hacker  indonesia, hacker yg image nya sperti itu ada etikanya, sedangkan dilain pihak yg sperti nya menampilkan citra diri sbg yg  ""baik2"" ternyata....",menarik etical hacker indonesia hacker yg image nya sperti itu ada etikanya sedangkan dilain pihak yg sperti nya menampilkan citra diri sbg yg baik ternyata
"Kl mmg benar buat aja gelar perkara terbuka, biar masyarakat tau bahwa ybs bisa retas.
Peretas bisa solo, bisa grup.
Dibantu dikasi info cela malah kena tangkap. Dari sini taukan keadaan sistim kita.
Selagi peretasan tidak masive dalam suatu waktu secara bersamaa pd instansi Pemerintah dan para  Pejabat sampai Presiden, jebol sampai anggaran, ga bakalan auto pembenahan besar-besaran.","kl mmg benar buat aja gelar perkara terbuka, biar masyarakat tau bahwa ybs bisa retas.
peretas bisa solo, bisa grup.
dibantu dikasi info cela malah kena tangkap. dari sini taukan keadaan sistim kita.
selagi peretasan tidak masive dalam suatu waktu secara bersamaa pd instansi pemerintah dan para  pejabat sampai presiden, jebol sampai anggaran, ga bakalan auto pembenahan besar-besaran.",kl mmg benar buat aja gelar perkara terbuka biar masyarakat tau bahwa ybs bisa retas peretas bisa solo bisa grup dibantu dikasi info cela malah kena tangkap dari sini taukan keadaan sistim kita selagi peretasan tidak masive dalam suatu waktu secara bersamaa pd instansi pemerintah dan para pejabat sampai presiden jebol sampai anggaran ga bakalan auto pembenahan besarbesaran
56:00 kalo yt ada namanya yt vanced itu bisa kaya premium tanpa iklan bisa muter musik kondisi layar mati,56:00 kalo yt ada namanya yt vanced itu bisa kaya premium tanpa iklan bisa muter musik kondisi layar mati,kalo yt ada namanya yt vanced itu bisa kaya premium tanpa iklan bisa muter musik kondisi layar mati
satu kalimat yg mantab......selama ini gada prestasi mungkin butuh.....dan itu adalah .kebodohan yg di gaji.....,satu kalimat yg mantab......selama ini gada prestasi mungkin butuh.....dan itu adalah .kebodohan yg di gaji.....,satu kalimat yg mantabselama ini gada prestasi mungkin butuhdan itu adalah kebodohan yg di gaji
Lanjutkan Bjorka ... 🔥🔥🔥🤡,lanjutkan bjorka ... 🔥🔥🔥🤡,lanjutkan bjorka
Polisi Polisi 👮🚔🚓..... 😂😂,polisi polisi 👮🚔🚓..... 😂😂,polisi polisi
"Alhamdulillah,Close the door ngundang Teguh apriyanto lagi buat mbahas kerjaan baju coklat yang katanya nangkap bjorka🗿","alhamdulillah,close the door ngundang teguh apriyanto lagi buat mbahas kerjaan baju coklat yang katanya nangkap bjorka🗿",alhamdulillahclose the door ngundang teguh apriyanto lagi buat mbahas kerjaan baju coklat yang katanya nangkap bjorka
17:49 om ded cuma mancing agar di jawab IYA. Malah di ULTIMATE 😭😭,17:49 om ded cuma mancing agar di jawab iya. malah di ultimate 😭😭,om ded cuma mancing agar di jawab iya malah di ultimate
Itulah kalo kerjanya yg pemting citra yg baik ..,itulah kalo kerjanya yg pemting citra yg baik ..,itulah kalo kerjanya yg pemting citra yg baik
"menarik bgt pembahasan ini, andai teman2 hacker bersatu untuk kulik ketidakadilan dan para koruptor di negeri ini, saya rasa cara yang tepat hehe","menarik bgt pembahasan ini, andai teman2 hacker bersatu untuk kulik ketidakadilan dan para koruptor di negeri ini, saya rasa cara yang tepat hehe",menarik bgt pembahasan ini andai teman hacker bersatu untuk kulik ketidakadilan dan para koruptor di negeri ini saya rasa cara yang tepat hehe
"jangan jauh ke hacking IT.

indonesia ini masih gampang di hacking dgn metode infared,jaringan,NFC dll.

sayang mas teguh ga dijelasin disini.","jangan jauh ke hacking it.

indonesia ini masih gampang di hacking dgn metode infared,jaringan,nfc dll.

sayang mas teguh ga dijelasin disini.",jangan jauh ke hacking it indonesia ini masih gampang di hacking dgn metode infaredjaringannfc dll sayang mas teguh ga dijelasin disini
Komdigi nya bukan budi arie sih makanya bjorka sulit ketangkep,komdigi nya bukan budi arie sih makanya bjorka sulit ketangkep,komdigi nya bukan budi arie sih makanya bjorka sulit ketangkep
"Kenyataan yang paling menjanjikan di negara ini adalah, bahwa pemerintah kita di lakukan oleh orang yang tidak kompeten dalam pekerjaan","kenyataan yang paling menjanjikan di negara ini adalah, bahwa pemerintah kita di lakukan oleh orang yang tidak kompeten dalam pekerjaan",kenyataan yang paling menjanjikan di negara ini adalah bahwa pemerintah kita di lakukan oleh orang yang tidak kompeten dalam pekerjaan
Saya juga gak percaya KLO dia BJORKA...😅😅😅,saya juga gak percaya klo dia bjorka...😅😅😅,saya juga gak percaya klo dia bjorka
"Bang ini mohon maaf kalo ngomongin bjorka emang susah dia dicari bahkan orangnya tertutup sekali makanya setiap mau ke pendidikan dia maunya sistem belajar daring 👍.

Demi dapet data orang sekitarnya.","bang ini mohon maaf kalo ngomongin bjorka emang susah dia dicari bahkan orangnya tertutup sekali makanya setiap mau ke pendidikan dia maunya sistem belajar daring 👍.

demi dapet data orang sekitarnya.",bang ini mohon maaf kalo ngomongin bjorka emang susah dia dicari bahkan orangnya tertutup sekali makanya setiap mau ke pendidikan dia maunya sistem belajar daring demi dapet data orang sekitarnya
"Akun gua, gua buat bjorka lagi, jadi tkut haha😅😂","akun gua, gua buat bjorka lagi, jadi tkut haha😅😂",akun gua gua buat bjorka lagi jadi tkut haha
Isilop ga guna memang,isilop ga guna memang,isilop ga guna memang
apa nama website yang diomongin utk lihat celah keamanan website oleh narasumber nya tuh? soda showden atau apa yaa kurang jelas dia ngomong,apa nama website yang diomongin utk lihat celah keamanan website oleh narasumber nya tuh? soda showden atau apa yaa kurang jelas dia ngomong,apa nama website yang diomongin utk lihat celah keamanan website oleh narasumber nya tuh soda showden atau apa yaa kurang jelas dia ngomong
plot twist nya yang diundang om deddy itu Bjorka-nya itu sendiri 🤫🤫🤫🤫🤫,plot twist nya yang diundang om deddy itu bjorka-nya itu sendiri 🤫🤫🤫🤫🤫,plot twist nya yang diundang om deddy itu bjorkanya itu sendiri
polisi isinya bocil2 lulus sma dari desa 😂,polisi isinya bocil2 lulus sma dari desa 😂,polisi isinya bocil lulus sma dari desa
anak punk gak tuh 🤣🤣🤣🤣,anak punk gak tuh 🤣🤣🤣🤣,anak punk gak tuh
wkwkwk @TanyaPolisi,wkwkwk @tanyapolisi,wkwkwk
"Tenang klw ada yg di hack data pemerintah nanti pejabatnya tinggal bilang, ""hai para hacker tolong jangan nge hack data kita ya""","tenang klw ada yg di hack data pemerintah nanti pejabatnya tinggal bilang, ""hai para hacker tolong jangan nge hack data kita ya""",tenang klw ada yg di hack data pemerintah nanti pejabatnya tinggal bilang hai para hacker tolong jangan nge hack data kita ya
Bjirka🤣,bjirka🤣,bjirka
apa yang d harapkan dari pemerintah gaptek,apa yang d harapkan dari pemerintah gaptek,apa yang d harapkan dari pemerintah gaptek
"7:24  yang paling gampang nik sama kk yang paling laku, buat nembak altivasi kartu perdana :v","7:24  yang paling gampang nik sama kk yang paling laku, buat nembak altivasi kartu perdana :v",yang paling gampang nik sama kk yang paling laku buat nembak altivasi kartu perdana v
Polisi cuma bikin ribet 😅🤮,polisi cuma bikin ribet 😅🤮,polisi cuma bikin ribet
"2 kata lucu, Bjorka Ketangkep.","2 kata lucu, bjorka ketangkep.",kata lucu bjorka ketangkep
Boleh komentar yg lucu gak sih disini buat polisi Indonesia😂😂😂,boleh komentar yg lucu gak sih disini buat polisi indonesia😂😂😂,boleh komentar yg lucu gak sih disini buat polisi indonesia
"45:53 ngakak, fufufafa ngga butuh hacker, emang dianya yg bodo","45:53 ngakak, fufufafa ngga butuh hacker, emang dianya yg bodo",ngakak fufufafa ngga butuh hacker emang dianya yg bodo
"q suka liat kakak deddy. beliau pintar. pintar mnempatkan diri n membawa arah pembicaraan. dia mnempatkan diri sbgai org awam yg gk tau ap2, agar org2 ""lemot"" ky q bs agak tau isi obrolan","q suka liat kakak deddy. beliau pintar. pintar mnempatkan diri n membawa arah pembicaraan. dia mnempatkan diri sbgai org awam yg gk tau ap2, agar org2 ""lemot"" ky q bs agak tau isi obrolan",q suka liat kakak deddy beliau pintar pintar mnempatkan diri n membawa arah pembicaraan dia mnempatkan diri sbgai org awam yg gk tau ap agar org lemot ky q bs agak tau isi obrolan
"Ampun Sepuh .... kenapa nyariin hacker ... bukannaya nangkapin para KORUPTOR.... Kalau KORUPTOR ga ada maka project untuk buat apikasi2 di Indo akan di kerjakan dengan baik ... dan yakin para community haxor mau turun bantu ... ""Itu juga masih Mungkin""","ampun sepuh .... kenapa nyariin hacker ... bukannaya nangkapin para koruptor.... kalau koruptor ga ada maka project untuk buat apikasi2 di indo akan di kerjakan dengan baik ... dan yakin para community haxor mau turun bantu ... ""itu juga masih mungkin""",ampun sepuh kenapa nyariin hacker bukannaya nangkapin para koruptor kalau koruptor ga ada maka project untuk buat apikasi di indo akan di kerjakan dengan baik dan yakin para community haxor mau turun bantu itu juga masih mungkin
"UU ITE pasal karet emang perlu diterapkan utk hacker apapun sih, ibarat punya kebon mangga gak dipager bisa dg mudah dipetik siapapun tapi tetep saja mangga itu ada pemilik nya, orang lain mau ngambil 1 daun pun tetep saja maling / merusak.","uu ite pasal karet emang perlu diterapkan utk hacker apapun sih, ibarat punya kebon mangga gak dipager bisa dg mudah dipetik siapapun tapi tetep saja mangga itu ada pemilik nya, orang lain mau ngambil 1 daun pun tetep saja maling / merusak.",uu ite pasal karet emang perlu diterapkan utk hacker apapun sih ibarat punya kebon mangga gak dipager bisa dg mudah dipetik siapapun tapi tetep saja mangga itu ada pemilik nya orang lain mau ngambil daun pun tetep saja maling merusak
"dari awal berita ""Bjorka ketangkep"", ane dah ketawa2 aja, ga mgkin banget itu","dari awal berita ""bjorka ketangkep"", ane dah ketawa2 aja, ga mgkin banget itu",dari awal berita bjorka ketangkep ane dah ketawa aja ga mgkin banget itu
Kan bisa aja admin bjorka g cuma 1....harusny yg di undang iy bjorkany...bukan malah dia,kan bisa aja admin bjorka g cuma 1....harusny yg di undang iy bjorkany...bukan malah dia,kan bisa aja admin bjorka g cuma harusny yg di undang iy bjorkanybukan malah dia
"Bisa nangkep bjorka, tapi ngak bisa nangkep fufufafa","bisa nangkep bjorka, tapi ngak bisa nangkep fufufafa",bisa nangkep bjorka tapi ngak bisa nangkep fufufafa
"pernah dpt info bjorka org sby wonokromo, cmn dia hnya uploder aja, diblakangnya ada bbrapa org tim it nya","pernah dpt info bjorka org sby wonokromo, cmn dia hnya uploder aja, diblakangnya ada bbrapa org tim it nya",pernah dpt info bjorka org sby wonokromo cmn dia hnya uploder aja diblakangnya ada bbrapa org tim it nya
❤ NEO JAPAN TERNYATA JAGO HACKINGG ❤,❤ neo japan ternyata jago hackingg ❤,neo japan ternyata jago hackingg
jadi 46:08 emang fufufa yang bodoh aja itu,jadi 46:08 emang fufufa yang bodoh aja itu,jadi emang fufufa yang bodoh aja itu
Abis tayang ..lu di investigasi kek nya bang.,abis tayang ..lu di investigasi kek nya bang.,abis tayang lu di investigasi kek nya bang
Dammm teknologi israel 😮,dammm teknologi israel 😮,dammm teknologi israel
29:20 speechless bgtt wtf,29:20 speechless bgtt wtf,speechless bgtt wtf
"Gw prnh di tlp di tau nama bapak ibu sama adik"" Gw.  Sama nama gw  . 

Itu thn 2017/2018an .  Yg tlp blg sodara gw lgi di kantor polisi di tangkap. Gw lgsg matiin krna tau itu modus penipuan, yg heran ko dia tau nama gw+ortu gw","gw prnh di tlp di tau nama bapak ibu sama adik"" gw.  sama nama gw  . 

itu thn 2017/2018an .  yg tlp blg sodara gw lgi di kantor polisi di tangkap. gw lgsg matiin krna tau itu modus penipuan, yg heran ko dia tau nama gw+ortu gw",gw prnh di tlp di tau nama bapak ibu sama adik gw sama nama gw itu thn an yg tlp blg sodara gw lgi di kantor polisi di tangkap gw lgsg matiin krna tau itu modus penipuan yg heran ko dia tau nama gwortu gw
Korupsi Terbesar itu ada di KEPOLISIAN! Pertamina sama Nikel kalah jauh,korupsi terbesar itu ada di kepolisian! pertamina sama nikel kalah jauh,korupsi terbesar itu ada di kepolisian pertamina sama nikel kalah jauh
"Orang Indonesia itu banyak yang hebat, di hampir semua bidang punya jagoannya bahkan sampai level dunia.
Tapi negara Indonesia sulit untuk menjadi hebat karena bukan orang-orang jagoan tadi yang diserahin tugas untuk mengurus dan memegang kendali negara. Justru seringkali orang orang stupid yang diberi wewenang mengurus negara..

Kepolisian juga begitu... gimana mau dapat SDM terbaik lha wong dari awal rekrut personel saja bukan jalur kompetensi dan potensi tapi jalur relasi dan monetisasi.","orang indonesia itu banyak yang hebat, di hampir semua bidang punya jagoannya bahkan sampai level dunia.
tapi negara indonesia sulit untuk menjadi hebat karena bukan orang-orang jagoan tadi yang diserahin tugas untuk mengurus dan memegang kendali negara. justru seringkali orang orang stupid yang diberi wewenang mengurus negara..

kepolisian juga begitu... gimana mau dapat sdm terbaik lha wong dari awal rekrut personel saja bukan jalur kompetensi dan potensi tapi jalur relasi dan monetisasi.",orang indonesia itu banyak yang hebat di hampir semua bidang punya jagoannya bahkan sampai level dunia tapi negara indonesia sulit untuk menjadi hebat karena bukan orangorang jagoan tadi yang diserahin tugas untuk mengurus dan memegang kendali negara justru seringkali orang orang stupid yang diberi wewenang mengurus negara kepolisian juga begitu gimana mau dapat sdm terbaik lha wong dari awal rekrut personel saja bukan jalur kompetensi dan potensi tapi jalur relasi dan monetisasi
"POLRI : DIAM TOLAH TOLEH, BERGERAK AMBYAR KABEH.","polri : diam tolah toleh, bergerak ambyar kabeh.",polri diam tolah toleh bergerak ambyar kabeh
BJORKA itu FERDI SAMBO 😂,bjorka itu ferdi sambo 😂,bjorka itu ferdi sambo
BIKIN OM E CHATTING INDONESIA CUAN CUAN,bikin om e chatting indonesia cuan cuan,bikin om e chatting indonesia cuan cuan
"Pas ada berita bjorka di tangkep,, itu ja udah ga mungkin banget deh,, apa lgi pas liat yg ditangkep nya haduuhhh😂😂😂","pas ada berita bjorka di tangkep,, itu ja udah ga mungkin banget deh,, apa lgi pas liat yg ditangkep nya haduuhhh😂😂😂",pas ada berita bjorka di tangkep itu ja udah ga mungkin banget deh apa lgi pas liat yg ditangkep nya haduuhhh
ya gimana... yg dicari bjorka.. yg ditangkep bjirlah,ya gimana... yg dicari bjorka.. yg ditangkep bjirlah,ya gimana yg dicari bjorka yg ditangkep bjirlah
Bejorka kagak bisa di ajak kompromi sekali kali ke nyenengin polosi😂,bejorka kagak bisa di ajak kompromi sekali kali ke nyenengin polosi😂,bejorka kagak bisa di ajak kompromi sekali kali ke nyenengin polosi
Biorka di tangkep badar judol 😂😂,biorka di tangkep badar judol 😂😂,biorka di tangkep badar judol
Bjorka ke tangkep tapi kocaakkkkk 😅🤣😂,bjorka ke tangkep tapi kocaakkkkk 😅🤣😂,bjorka ke tangkep tapi kocaakkkkk
kapolri gimana ni anak buahnya,kapolri gimana ni anak buahnya,kapolri gimana ni anak buahnya
wkwkwk,wkwkwk,wkwkwk
